1,2,001,264,164
1,2,002,221,121
1,2,003,232,132
1,2,004,239,139
1,2,005,297,197
1,2,006,299,199
1,2,007,209,109
1,2,008,234,134
1,2,009,227,127
1,2,010,268,168
1,3,001,258,158
1,3,002,221,121
1,3,003,224,124
1,3,004,238,138
1,3,005,244,144
1,3,006,269,169
1,3,007,216,116
1,3,008,260,160
1,3,009,299,199
1,3,010,210,110
1,4,001,296,196
1,4,002,208,108
1,4,003,251,151
1,4,004,286,186
1,4,005,201,101
1,4,006,269,169
1,4,007,280,180
1,4,008,279,179
1,4,009,202,102
1,4,010,280,180
1,5,001,206,106
1,5,002,212,112
1,5,003,239,139
1,5,004,240,140
1,5,005,292,192
1,5,006,284,184
1,5,007,209,109
1,5,008,206,106
1,5,009,213,113
1,5,010,257,157
1,6,001,273,173
1,6,002,212,112
1,6,003,209,109
1,6,004,226,126
1,6,005,267,167
1,6,006,283,183
1,6,007,294,194
1,6,008,210,110
1,6,009,260,160
1,6,010,252,152
1,7,001,242,142
1,7,002,292,192
1,7,003,237,137
1,7,004,294,194
1,7,005,253,153
1,7,006,262,162
1,7,007,244,144
1,7,008,299,199
1,7,009,261,161
1,7,010,299,199
1,8,001,215,115
1,8,002,228,128
1,8,003,298,198
1,8,004,233,133
1,8,005,227,127
1,8,006,244,144
1,8,007,217,117
1,8,008,214,114
1,8,009,283,183
1,8,010,299,199
1,9,001,251,151
1,9,002,202,102
1,9,003,264,164
1,9,004,267,167
1,9,005,240,140
1,9,006,227,127
1,9,007,295,195
1,9,008,227,127
1,9,009,258,158
1,9,010,207,107
1,10,001,239,139
1,10,002,235,135
1,10,003,221,121
1,10,004,285,185
1,10,005,258,158
1,10,006,220,120
1,10,007,265,165
1,10,008,230,130
1,10,009,248,148
1,10,010,286,186
1,11,001,208,108
1,11,002,298,198
1,11,003,275,175
1,11,004,200,100
1,11,005,261,161
1,11,006,292,192
1,11,007,240,140
1,11,008,225,125
1,11,009,254,154
1,11,010,275,175
1,12,001,268,168
1,12,002,273,173
1,12,003,237,137
1,12,004,287,187
1,12,005,231,131
1,12,006,293,193
1,12,007,298,198
1,12,008,228,128
1,12,009,242,142
1,12,010,225,125
1,13,001,266,166
1,13,002,247,147
1,13,003,218,118
1,13,004,249,149
1,13,005,230,130
1,13,006,288,188
1,13,007,289,189
1,13,008,253,153
1,13,009,250,150
1,13,010,201,101
1,14,001,277,177
1,14,002,273,173
1,14,003,253,153
1,14,004,249,149
1,14,005,247,147
1,14,006,274,174
1,14,007,206,106
1,14,008,221,121
1,14,009,235,135
1,14,010,285,185
1,15,001,213,113
1,15,002,271,171
1,15,003,250,150
1,15,004,224,124
1,15,005,216,116
1,15,006,267,167
1,15,007,292,192
1,15,008,223,123
1,15,009,279,179
1,15,010,257,157
1,16,001,238,138
1,16,002,258,158
1,16,003,247,147
